Timestamp,Topic,Payload
2023-11-14T21:05:23.529269,avr/fcm/gps_info,"{""num_satellites"": 13, ""fix_type"": ""FIX_3D""}"
2023-11-14T21:05:23.530082,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2023-11-14T21:05:23.531054,avr/fcm/location/global,"{""lat"": 32.8085665, ""lon"": -97.1563288, ""alt"": 0.0010000000474974513, ""hdg"": 179.18185424804688}"
2023-11-14T21:05:23.533084,avr/fcm/location/global_full,"{""lat"": 32.8085665, ""lon"": -97.1563288, ""rel_alt"": 0.0010000000474974513, ""abs_alt"": 169.08401489257812}"
2023-11-14T21:05:23.534053,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2023-11-14T21:05:23.535081,avr/fcm/location/local,"{""dX"": 1.9570109844207764, ""dY"": 1.4301609992980957, ""dZ"": -7.05876350402832}"
2023-11-14T21:05:23.535081,avr/fcm/status,"{""mode"": ""POSCTL"", ""armed"": false}"
2023-11-14T21:05:23.536084,avr/fcm/status,"{""armed"": false, ""mode"": ""POSCTL""}"
2023-11-14T21:05:23.536084,avr/fusion/attitude/heading,"{""heading"": 179.96758941988548}"
2023-11-14T21:05:23.537081,avr/fusion/velocity/ned,"{""Vn"": -0.06632697313351738, ""Ve"": -0.04947633671581297, ""Vd"": -0.008963104477502348}"
2023-11-14T21:05:23.538081,avr/fusion/groundspeed,"{""groundspeed"": 0.08274766014740742}"
2023-11-14T21:05:23.538081,avr/fcm/location/global,"{""lat"": 32.8085665, ""lon"": -97.1563288, ""alt"": 0.0010000000474974513, ""hdg"": 179.18455505371094}"
2023-11-14T21:05:23.539081,avr/fusion/climbrate,"{""climb_rate_fps"": 1.7643871163963372}"
2023-11-14T21:05:23.539081,avr/fcm/location/global_full,"{""lat"": 32.8085665, ""lon"": -97.1563288, ""rel_alt"": 0.0010000000474974513, ""abs_alt"": 169.08401489257812}"
2023-11-14T21:05:23.540081,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2023-11-14T21:05:23.574811,avr/fcm/attitude/euler,"{""roll"": 1.586945652961731, ""pitch"": 2.149160146713257, ""yaw"": 179.1873016357422}"
2023-11-14T21:05:23.575809,avr/fcm/location/global,"{""lat"": 32.8085665, ""lon"": -97.1563288, ""alt"": 0.0010000000474974513, ""hdg"": 179.1873016357422}"
2023-11-14T21:05:23.576809,avr/fcm/location/global_full,"{""lat"": 32.8085665, ""lon"": -97.1563288, ""rel_alt"": 0.0010000000474974513, ""abs_alt"": 169.08401489257812}"
2023-11-14T21:05:23.577013,avr/fcm/location/local,"{""dX"": 1.956987738609314, ""dY"": 1.4301786422729492, ""dZ"": -7.058747291564941}"
2023-11-14T21:05:23.577809,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2023-11-14T21:05:23.577809,avr/fusion/hil_gps,"{""time_usec"": 1699400840546468, ""fix_type"": 3, ""lat"": 328085665, ""lon"": -971563288, ""alt"": 169086, ""eph"": 20, ""epv"": 5, ""vel"": 0, ""vn"": 0, ""ve"": 0, ""vd"": 0, ""cog"": 17900, ""satellites_visible"": 13, ""heading"": 17996}"
2023-11-14T21:05:23.578809,avr/fcm/location/global,"{""lat"": 32.8085665, ""lon"": -97.1563288, ""alt"": 0.0010000000474974513, ""hdg"": 179.1887664794922}"
2023-11-14T21:05:23.579883,avr/fcm/location/global_full,"{""lat"": 32.8085665, ""lon"": -97.1563288, ""rel_alt"": 0.0010000000474974513, ""abs_alt"": 169.08401489257812}"
2023-11-14T21:05:23.579883,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2023-11-14T21:05:23.613602,avr/fcm/location/local,"{""dX"": 1.9569722414016724, ""dY"": 1.4301893711090088, ""dZ"": -7.0587358474731445}"
2023-11-14T21:05:23.614607,avr/fcm/gps_info,"{""num_satellites"": 13, ""fix_type"": ""FIX_3D""}"
2023-11-14T21:05:23.615722,avr/fcm/location/global,"{""lat"": 32.8085665, ""lon"": -97.1563288, ""alt"": 0.0010000000474974513, ""hdg"": 179.1905059814453}"
2023-11-14T21:05:23.616603,avr/fcm/location/global_full,"{""lat"": 32.8085665, ""lon"": -97.1563288, ""rel_alt"": 0.0010000000474974513, ""abs_alt"": 169.08401489257812}"
2023-11-14T21:05:23.618603,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2023-11-14T21:05:23.619603,avr/vio/position/ned,"{""n"": 194.8108648514551, ""e"": 151.05862134978753, ""d"": -758.6599327958002}"
2023-11-14T21:05:23.619603,avr/vio/orientation/eul,"{""psi"": -2.3588794683339382, ""theta"": 0.04726542217849278, ""phi"": -3.1412194229368673}"
2023-11-14T21:05:23.620603,avr/vio/heading,"{""degrees"": 180.02138454119756}"
2023-11-14T21:05:23.620603,avr/fusion/position/ned,"{""n"": 194.8108648514551, ""e"": 151.05862134978753, ""d"": -758.6599327958002}"
2023-11-14T21:05:23.621602,avr/vio/velocity/ned,"{""n"": 0.012365739736984023, ""e"": 0.08486989718764575, ""d"": 0.0053377293828708065}"
2023-11-14T21:05:23.621602,avr/vio/confidence,"{""tracker"": 91}"
2023-11-14T21:05:23.622603,avr/fusion/attitude/euler,"{""psi"": -2.3588794683339382, ""theta"": 0.04726542217849278, ""phi"": -3.1412194229368673}"
2023-11-14T21:05:23.623603,avr/fcm/location/global,"{""lat"": 32.8085665, ""lon"": -97.1563288, ""alt"": 0.0, ""hdg"": 179.19253540039062}"
2023-11-14T21:05:23.623603,avr/fusion/attitude/heading,"{""heading"": 180.02138454119756}"
2023-11-14T21:05:23.624603,avr/fcm/location/global_full,"{""lat"": 32.8085665, ""lon"": -97.1563288, ""rel_alt"": 0.0, ""abs_alt"": 169.08401489257812}"
2023-11-14T21:05:23.624603,avr/fcm/velocity,"{""vX"": 0.0, ""vY"": 0.0, ""vZ"": 0.0}"
2023-11-14T21:05:23.625603,avr/fcm/location/local,"{""dX"": 1.9569536447525024, ""dY"": 1.430205225944519, ""dZ"": -7.058719158172607}"
2023-11-14T21:05:23.667043,avr/fcm/location/global,"{""lat"": 32.8085665, ""lon"": -97.1563288, ""alt"": 0.0, ""hdg"": 179.194580078125}"
